I_E,rate_E_hz,rate_I_hz,spikes_E,spikes_I,rhythmicity
1.206122448979591866e+00,6.240521131775365120e+02,6.699011976585507000e+02,3.993860000000000000e+05,1.071410000000000000e+05,5.373945537497700764e-01
1.224489795918367374e+00,6.240501953690494474e+02,6.699011976585507000e+02,3.993660000000000000e+05,1.071520000000000000e+05,5.235462538355462048e-01
1.242857142857142883e+00,6.241062309627789091e+02,6.699011976585507000e+02,3.993860000000000000e+05,1.071790000000000000e+05,5.376647031658340348e-01
1.261224489795918391e+00,6.240250793618254193e+02,6.699011976585507000e+02,3.993510000000000000e+05,1.072330000000000000e+05,5.233682452581890354e-01
1.279591836734693899e+00,6.240711275709268193e+02,6.699011976585507000e+02,3.994130000000000000e+05,1.072320000000000000e+05,6.485708024678008554e-01
1.297959183673469408e+00,6.241714272923202316e+02,6.699011976585507000e+02,3.994860000000000000e+05,1.071870000000000000e+05,7.438342201210125237e-01
1.316326530612244916e+00,6.241461713857484028e+02,6.699011976585507000e+02,3.994820000000000000e+05,1.071440000000000000e+05,7.513638084496940817e-01
1.334693877551020424e+00,6.240614637336266242e+02,6.699011976585507000e+02,3.994390000000000000e+05,1.071340000000000000e+05,6.184195213582567296e-01
1.353061224489795933e+00,6.241482498278240882e+02,6.699011976585507000e+02,3.994870000000000000e+05,1.071440000000000000e+05,8.025574576667947602e-01
1.371428571428571441e+00,6.240837084348307826e+02,6.699011976585507000e+02,3.993850000000000000e+05,1.071670000000000000e+05,5.650554612394647069e-01
1.389795918367346950e+00,6.240805772504883180e+02,6.699011976585507000e+02,3.993720000000000000e+05,1.071970000000000000e+05,7.248771710149257697e-01
1.408163265306122458e+00,6.241434155974858413e+02,6.699011976585507000e+02,3.994220000000000000e+05,1.072420000000000000e+05,6.657363050727120868e-01
1.426530612244897966e+00,6.241592638101178636e+02,6.699011976585507000e+02,3.994410000000000000e+05,1.072550000000000000e+05,5.984970846474355621e-01
1.444897959183673475e+00,6.241458332029953908e+02,6.699011976585507000e+02,3.994550000000000000e+05,1.072270000000000000e+05,4.572369774061648684e-01
1.463265306122448983e+00,6.241258834887198645e+02,6.699011976585507000e+02,3.994500000000000000e+05,1.071830000000000000e+05,6.948397781267831030e-01
1.481632653061224492e+00,6.241089358704953156e+02,6.699011976585507000e+02,3.994580000000000000e+05,1.071500000000000000e+05,5.199582400406533855e-01
1.500000000000000000e+00,6.240457388024404963e+02,6.699011976585507000e+02,3.994370000000000000e+05,1.071350000000000000e+05,5.856975748637678336e-01
